Asmatutakoak Denbora Puntuak
10 23.00 97.42
10 25.00 96.31
10 26.00 95.81
10 27.00 95.33
10 28.00 94.88
10 29.00 94.44
10 30.00 94.01
10 31.00 93.60
10 32.00 93.20
10 33.00 92.80
10 34.00 92.42
10 35.00 92.05
10 36.00 91.68
10 37.00 91.32
10 38.00 90.96
10 39.00 90.61
10 40.00 90.27
10 41.00 89.93
10 42.00 89.60
10 43.00 89.27
10 44.00 88.95
10 45.00 88.63
10 46.00 88.31
10 47.00 88.00
10 48.00 87.69
10 49.00 87.38
10 50.00 87.08
10 51.00 86.78
10 52.00 86.48
10 53.00 86.19
10 54.00 85.89
10 55.00 85.60
10 56.00 85.32
10 57.00 85.03
10 58.00 84.75
10 59.00 84.47
10 60.00 84.19
10 62.00 83.65
10 63.00 83.37
10 64.00 83.10
10 65.00 82.84
10 66.00 82.57
10 67.00 82.31
10 68.00 82.04
10 69.00 81.78
10 70.00 81.52
10 71.00 81.26
10 73.50 80.75
10 74.00 80.50
10 75.00 80.25
10 78.00 79.50
10 82.00 78.52
10 83.00 78.28
10 84.00 78.04
10 85.00 77.80
10 86.00 77.56
10 87.00 77.32
10 89.50 76.85
10 93.00 75.92
10 110.5 71.68
 9 27.00 85.20
 9 28.00 84.80
 9 29.00 84.41
 9 32.00 83.31
 9 33.00 82.97
 9 34.00 82.63
 9 35.00 82.30
 9 36.00 81.98
 9 37.00 81.66
 9 38.00 81.35
 9 39.00 81.04
 9 40.00 80.74
 9 41.00 80.44
 9 42.00 80.15
 9 43.00 79.86
 9 44.00 79.57
 9 45.00 79.29
 9 46.00 79.01
 9 47.00 78.73
 9 48.00 78.46
 9 49.00 78.19
 9 50.00 77.92
 9 51.00 77.66
 9 52.00 77.40
 9 53.00 77.14
 9 54.00 76.88
 9 55.00 76.63
 9 56.00 76.37
 9 57.00 76.12
 9 58.00 75.87
 9 59.00 75.63
 9 60.00 75.38
 9 61.00 75.14
 9 62.00 74.90
 9 63.00 74.66
 9 64.00 74.42
 9 65.00 74.19
 9 66.00 73.95
 9 67.00 73.72
 9 68.00 73.49
 9 70.00 73.03
 9 71.00 72.80
 9 72.00 72.57
 9 73.00 72.35
 9 74.00 72.13
 9 75.00 71.90
 9 77.00 71.46
 9 87.50 69.12
 9 105.0 65.70
 9 121.0 62.67
 8 26.50 75.65
 8 29.50 74.60
 8 32.00 73.65
 8 33.00 73.35
 8 34.00 73.06
 8 35.00 72.77
 8 36.00 72.49
 8 37.00 72.21
 8 38.00 71.94
 8 39.00 71.68
 8 40.00 71.41
 8 41.00 71.15
 8 42.00 70.90
 8 43.00 70.65
 8 44.00 70.40
 8 45.00 70.15
 8 46.00 69.91
 8 47.00 69.67
 8 48.00 69.44
 8 49.00 69.20
 8 50.00 68.97
 8 51.00 68.74
 8 52.00 68.51
 8 53.00 68.29
 8 54.00 68.07
 8 55.00 67.84
 8 56.00 67.62
 8 57.00 67.41
 8 58.00 67.19
 8 59.00 66.98
 8 60.00 66.76
 8 61.00 66.55
 8 62.00 66.36
 8 63.00 66.14
 8 64.00 65.93
 8 65.00 65.73
 8 66.00 65.52
 8 67.00 65.32
 8 68.00 65.12
 8 69.00 64.92
 8 70.00 64.72
 8 71.00 64.52
 8 72.00 64.33
 8 73.00 64.13
 8 74.00 63.94
 8 75.00 63.74
 8 78.00 63.17
 8 79.00 62.98
 8 81.00 62.61
 8 82.00 62.42
 8 83.00 62.21
 8 84.00 62.05
 8 85.00 61.87
 8 88.00 61.33
 8 94.00 60.26
 8 95.00 60.08
 8 101.0 59.04
 7 33.00 63.97
 7 34.00 63.72
 7 36.00 63.24
 7 37.00 63.00
 7 38.00 62.77
 7 39.00 62.54
 7 40.00 62.32
 7 41.00 62.10
 7 42.00 61.88
 7 43.00 61.67
 7 44.00 61.46
 7 45.00 61.25
 7 47.00 60.84
 7 48.00 60.64
 7 49.00 60.44
 7 50.00 60.24
 7 51.00 60.04
 7 52.00 59.85
 7 53.00 59.66
 7 54.00 59.28
 7 55.00 59.47
 7 56.00 59.09
 7 57.00 58.91
 7 58.00 58.72
 7 59.00 58.54
 7 60.00 58.36
